area|publico_alvo|SERVIÇO|DESCRIÇÃO|LINK  PARA MATERIAL REFERENTE (quando o conteúdo já existe no site MTE)|LINK SITES - DENUNCIA E/OU CADASTRAMENTO (quando possuir)|EMAIL - PARA SOLICITAÇÕES  (quando possuir)|TELEFONE - DENUNCIA E/OU INFORMAÇÃO (quando possuir)
SIT|empregadores|Domicílio Eletrônico Trabalhista - DET|Sistema que tem como objetivo prover maior padronização e eficiência nas comunicações entre os Auditores-Fiscais do Trabalho e os empregadores. Toda a comunicação com a Inspeção do Trabalho é feita através da plataforma, como atos administrativos, procedimentos fiscais, intimações, notificações, decisões proferidas administrativamente e avisos em geral.|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/empregador/domicilio-eletronico-trabalhista-det|https://det.sit.trabalho.gov.br/login?r=%2Fservicos|-|-
SIT|empregadores|Radar SIT|Painel de Informações e Estatísticas da Inspeção do Trabalho no Brasil individualizado pelos assuntos FGTS, Autuações, PCD, Acidentes de Trabalho, Trabalho Escravo e Trabalho Infantil.|https://www.gov.br/pt-br/servicos/acessar-radar-sit|https://sit.trabalho.gov.br/radar/|-|-
SIT|empregadores|Protocolo de Defesa, Recurso e Outros Documentos, em Processos Administrativos ELETRÔNICOS de Multas e cobrança do FGTS|Trata-se de serviço destinado ao protocolo de Defesas, Recursos e/ou Outros Documentos, no âmbito exclusivo dos processos administrativos eletrônicos de multas trabalhistas e cobrança do FGTS. É necessária a autenticação do usuário pelo "Gov.br", além do preenchimento dos dados de validação processual fornecidos por meio de Notificação Eletrônica enviada pelas Unidade de Multas e Recursos (Nº do Processo, CNPJ do Estabelecimento autuado, Código de Acesso e e-mail para contato).|https://eprocesso.sit.trabalho.gov.br/||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|empregadores|Consulta Íntegra dos Processos Administrativos ELETRÔNICOS de Multas e cobrança do FGTS|Trata-se de serviço destinado à consulta da íntegra dos processos administrativos eletrônicos de multas trabalhistas e cobrança do FGTS. É necessário o preenchimento dos dados de validação processual fornecidos por meio de Notificação Eletrônica enviada pelas Unidade de Multas e Recursos (Nº do Processo, CNPJ do Estabelecimento autuado e Código de Acesso).|https://eprocesso.sit.trabalho.gov.br/ProcessoEletronico/Consultar/IntegraProcessual||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|empregadores|Consulta Andamento dos Processos Administrativos ELETRÔNICOS de Multas e cobrança do FGTS|Trata-se de serviço destinado à consulta do andamento (histórico) dos processos administrativos eletrônicos de multas trabalhistas e cobrança do FGTS. A consulta é pública e pode ser acessada por meio do número do processo ou do documento fiscal que lhe deu origem (Auto de Infração ou Notificação de Débito do FGTS).|https://eprocesso.sit.trabalho.gov.br/ProcessoEletronico/Consultar/AndamentoProcessual||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|empregadores|Consulta existência de Processos Administrativos ELETRÔNICOS de Multas e cobrança do FGTS, por Empregador|Trata-se de serviço destinado à consulta de eventuais processos administrativos eletrônicos de multas trabalhistas e cobrança do FGTS, que tramitam em face de determinado empregador. A consulta é pública e pode ser acessada por meio do número de inscrição no CNPJ ou CPF do empregador pesquisado.|https://eprocesso.sit.trabalho.gov.br/ProcessoEletronico/Consultar/ProcessosPorEmpregador||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|empregadores|Consulta Calendário de Feriados e eventuais Suspensões e Interrupções dos prazos vinculados aos Processos Administrativos ELETRÔNICOS de Multas e cobrança do FGTS.|Trata-se de serviço destinado à consulta dos feriados, suspensões e interrupções dos prazos vinculados aos processos administrativos eletrônicos de multas trabalhistas e cobrança do FGTS. Consulta voltada, primordialmente, aos empregadores que possuam prazos em curso, em face de notificação recebida.|https://eprocesso.sit.trabalho.gov.br/ProcessoEletronico/Consultar/Calendario||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|empregadores|Emissão de DARF vinculados aos Processos Administrativos ELETRÔNICOS de Multas e cobrança do FGTS.|Trata-se de serviço destinado à emissão de DARF para pagamento de multas impostas no âmbito dos processos administrativos eletrônicos de multas trabalhistas.|https://eprocesso.sit.trabalho.gov.br/ProcessoEletronico/EmitirDARF||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|empregadores|Consulta Andamento dos Processos Administrativos FÍSICOS de Multas e cobrança do FGTS|Trata-se de serviço destinado à consulta do andamento (histórico) dos processos administrativos físicos de multas trabalhistas e cobrança do FGTS. A consulta é pública e pode ser acessada por meio do número do processo ou do documento fiscal que lhe deu origem (Auto de Infração ou Notificação de Débito do FGTS).|https://eprocesso.sit.trabalho.gov.br/ProcessoFisico/Consultar/AndamentoProcessual||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|empregadores|Consulta existência de Processos Administrativos FÍSICOS de Multas e cobrança do FGTS, por Empregador|Trata-se de serviço destinado à consulta de eventuais processos administrativos físicos de multas trabalhistas e cobrança do FGTS, que tramitam em face de determinado empregador. A consulta é pública e pode ser acessada por meio do número de inscrição no CNPJ ou CPF do empregador pesquisado.|https://eprocesso.sit.trabalho.gov.br/ProcessoFisico/Consultar/ProcessosPorEmpregador||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
