area|publico_alvo|servico|descricao|link_mte|link_denuncia_cadastramento|email_solicitacoes|telefone_denuncia_informacoes
SIT|trabalhadores|Canal de Denúncias Trabalhistas|Sistema que possibilita o registro de denúncias trabalhistas de forma ágil e fácil.|https://www.gov.br/pt-br/servicos/realizar-denuncia-trabalhista|https://denuncia.sit.trabalho.gov.br/home|-|-
SIT|trabalhadores|Radar SIT|Painel de Informações e Estatísticas da Inspeção do Trabalho no Brasil individualizado pelos assuntos FGTS, Autuações, PCD, Acidentes de Trabalho, Trabalho Escravo e Trabalho Infantil.|https://www.gov.br/pt-br/servicos/acessar-radar-sit|https://sit.trabalho.gov.br/radar/|-|-
SIT|trabalhadores|Canal da ENIT no Youtube |No canal são publicados videoaulas, transmitidos eventos e lives com informações sobre diversos assuntos úteis aos trabalhadores|https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/inspecao-do-trabalho/escola|https://www.youtube.com/@ENIT-ESCOLA||
SIT|trabalhadores|Portal de cursos da SIT|No portal são publicados cursos sobre matérias trabalhistas que contêm informações importantes para trabalhadores, além de permitir a emissão de certificados de eventos transmitidos no canal do Youtube da ENIT|https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/inspecao-do-trabalho/escola|https://ead.sit.trabalho.gov.br/||
SIT|trabalhadores|Revista ENIT|A Revista da ENIT é um periódico publicado pelo Ministério do Trabalho e Emprego que tem como intuito a divulgação de práticas e pesquisas científicas sobre a matéria trabalhista|https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/inspecao-do-trabalho/escola|https://revistaenit.trabalho.gov.br||
SIT|trabalhadores|Consulta Andamento dos Processos Administrativos ELETRÔNICOS de Multas e cobrança do FGTS|Trata-se de serviço destinado à consulta do andamento (histórico) dos processos administrativos eletrônicos de multas trabalhistas e cobrança do FGTS. A consulta é pública e pode ser acessada por meio do número do processo ou do documento fiscal que lhe deu origem (Auto de Infração ou Notificação de Débito do FGTS).|https://eprocesso.sit.trabalho.gov.br/ProcessoEletronico/Consultar/AndamentoProcessual||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|trabalhadores|Consulta existência de Processos Administrativos ELETRÔNICOS de Multas e cobrança do FGTS, por Empregador|Trata-se de serviço destinado à consulta de eventuais processos administrativos eletrônicos de multas trabalhistas e cobrança do FGTS, que tramitam em face de determinado empregador. A consulta é pública e pode ser acessada por meio do número de inscrição no CNPJ ou CPF do empregador pesquisado.|https://eprocesso.sit.trabalho.gov.br/ProcessoEletronico/Consultar/ProcessosPorEmpregador||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|trabalhadores|Consulta Andamento dos Processos Administrativos FÍSICOS de Multas e cobrança do FGTS|Trata-se de serviço destinado à consulta do andamento (histórico) dos processos administrativos físicos de multas trabalhistas e cobrança do FGTS. A consulta é pública e pode ser acessada por meio do número do processo ou do documento fiscal que lhe deu origem (Auto de Infração ou Notificação de Débito do FGTS).|https://eprocesso.sit.trabalho.gov.br/ProcessoFisico/Consultar/AndamentoProcessual||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|trabalhadores|Consulta existência de Processos Administrativos FÍSICOS de Multas e cobrança do FGTS, por Empregador|Trata-se de serviço destinado à consulta de eventuais processos administrativos físicos de multas trabalhistas e cobrança do FGTS, que tramitam em face de determinado empregador. A consulta é pública e pode ser acessada por meio do número de inscrição no CNPJ ou CPF do empregador pesquisado.|https://eprocesso.sit.trabalho.gov.br/ProcessoFisico/Consultar/ProcessosPorEmpregador||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
SIT|trabalhadores|Emissão de Certidão de Débitos Trabalhistas|Trata-se de serviço destinado à emissão da Certidão de Débitos Trabalhistas, estabelecida pelo Capítulo II, do Título IV, da PORTARIA MTP Nº 667, DE 8 DE NOVEMBRO DE 2021. A consulta é pública e pode ser acessada por meio do número de inscrição no CNPJ ou CPF do empregador pesquisado.|https://eprocesso.sit.trabalho.gov.br/Certidao/Emitir||eprocesso.trabalho@economia.gov.br|https://eprocesso.sit.trabalho.gov.br/Atendimento
