area|publico_alvo|SERVIÇO|DESCRIÇÃO|LINK  PARA MATERIAL REFERENTE (quando o conteúdo já existe no site MTE)|LINK SITES - DENUNCIA E/OU CADASTRAMENTO (quando possuir)|EMAIL - PARA SOLICITAÇÕES  (quando possuir)|TELEFONE - DENUNCIA E/OU INFORMAÇÃO (quando possuir)
CGRS|entidades|Consulta de Aferição das Centrais Sindicais|A Lei 11.648/2008 fez o reconhecimento formal das centrais sindicais no Brasil, enquanto entidades associativas de direito privado de representação geral dos trabalhadores, constituídas em âmbito nacional. No artigo primeiro da Lei 11.648/2008 estão definidas as atribuições e prerrogativas das centrais sindicais.Para fins de verificação da representatividade, deverão as centrais sindicais se cadastrarem no Sistema Integrado de Relações do Trabalho (SIRT/MTE), devendo manter seus dados cadastrais atualizados, conforme estabelecido no artigo 1º da Portaria 194/2008.|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/consulta-de-afericao-das-centrais/consulta-de-afericao-das-centrais-sindicais|||
CGRS|entidades|Cadastro de Entidades Sindicais Especiais|O Cadastro de Entidades Sindicais Especiais foi criado pela Portaria 984/2008 para a inscrição de entidades que, apesar de não constituírem categoria profissional ou econômica e consequentemente não poderem fazer parte da estrutura sindical comum brasileira, tiveram menção especial no inciso VII e parágrafo único do art. 8º da Constituição Federal, artigo que concerne à organização sindical brasileira.Dessa forma, o Cadastro de Entidades Sindicais Especiais dá atenção especial a aposentados e a outros grupos e possibilita que eles constituam associação sindical específica para a defesa dos seus interesses e, ainda, filiem-se às Centrais Sindicais com maior identificação com os grupos representados.Atualmente a Portaria  671/2021, a partir do art. 285-A, estabelece os critérios e os trâmites a serem seguidos para a regular inscrição no Cadastro de Entidades Sindicais Especiais.|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/cadastro-de-entidades/cadastro-de-entidades-sindicais-especiais|||
CGRS|entidades|Cadastro Especial de Colônias de Pescadores|As Colônias de Pescadores, as Federações Estaduais e a Confederação Nacional dos Pescadores foram reconhecidas, pela Lei nº 11.699, de 13 de junho de 2008, como órgãos de classe dos trabalhadores do setor artesanal da pesca. Cabe às Colônias, às Federações Estaduais e à Confederação Nacional dos Pescadores a defesa dos direitos e interesses da categoria, em juízo ou fora dele, dentro de sua jurisdição.A Portaria MTE nº 547, de 11 de março de 2010, que estabelecia o Cadastro Especial de Colônias de Pescados, no âmbito da Secretaria de Relações do Trabalho, foi tornada sem efeito pela Portaria MTE nº 2.159, de 28 de dezembro de 2012 (posteriormente alterada pela Portaria MTE nº 1.378, de 4 de setembro de 2013, e pela Portaria MTE nº 176 de 28 de janeiro de 2014), ficando o serviço suspenso.|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/cadastro-de-entidades/cadastro-especial-de-colonias-de-pescadores|||
CGRS|entidades|Entidades Sindicais Cadastradas no MTE|Consulta as entidades sindicais registradas no MTE|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/cadastro-de-entidades/entidade-sindical-registrada|||
CGRS|entidades|Informações Gerais sobre o Cadastro Nacional de Entidades Sindicais|O primeiro sistema de cadastro foi elaborado unicamente para o acompanhamento processual, isento de mecanismos críticos. Em 2005, houve uma evolução com a criação do Novo Cadastro Nacional de Entidades Sindicais, que, por meio de suas ferramentas de integração de informações, proporciona maior eficiência, transparência e celeridade na análise das solicitações e nas consultas processuais.Por meio dos dados cadastrais, no Novo CNES permite-se uma ampla consulta acerca da representação de uma entidade sindical.O Novo CNES trabalha com duas instâncias básicas, as solicitações e o cadastro. Existem dois tipos de solicitações: (i) as que geram um cadastro no Novo CNES e (ii) as que alteram as informações no cadastro da entidade.|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/cadastro-de-entidades/cadastro-de-entidades-sindicais/informacoes-gerais-sobre-o-cadastro-nacional-de-entidades-sindicais|||
CGRS|entidades|Consultas ao Cadastro Nacional de Entidades Sindicais|Para acessar Processo de Registro Sindical, Carta Sindical e Consultar Solicitações.|https://www3.mte.gov.br/sistemas/cnes/cons_sindical/default.asp|||
CGRS|entidades|Formulário de Vistas e Cópias de Processos|A Secretaria de Relações do Trabalho possui uma central de atendimento disponível ao público para orientações, esclarecimentos de dúvidas, solicitação de cópias e vistas de processos e recebimento de sugestões e críticas sobre o registro sindical.|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/cadastro-de-entidades/cadastro-de-entidades-sindicais/formulario-de-vistas-e-copias-de-processos||atendimento.cgrs@trabalho.gov.br|
CGRS|entidades|Impugnação|Procedimento por meio do qual um sindicato se opõe ao pedido de registro sindical ou de alteração estatutária de outro sindicato, apresentado dentro do prazo de 30 (trinta) dias, a contar da publicação da abertura de prazo para impugnação do respectivo pedido no Diário Oficial da União – D.O.U Portaria/MTE n. 3.472/2023.|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/cadastro-de-entidades/cadastro-de-entidades-sindicais/impugnacao|||
CGRS|entidades|Certidão de Registro Sindical|A partir da Portaria nº 17.593, de 24 de julho de 2020, que trata sobre procedimentos administrativos para registro de entidades sindicais, a Certidão Sindical passou a ser disponibilizada automaticamente por meio da aplicação Certidão Sindical.|https://cersin.mte.gov.br/|||
CGRS|entidades|Código Sindical|Solicitação de GERAÇÃO do código sindical|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/cadastro-de-entidades/cadastro-de-entidades-sindicais/codigo-sindical|||
CGRS|entidades|Registro Sindical (SC)|Procedimento por meio do qual uma entidade sindical requer seu registro junto ao Cadastro Nacional de Entidades Sindicais - CNES.|https://cnes.trabalho.gov.br/app/|||
CGRS|entidades|Alteração Estatutária (SA)|Procedimento por meio do qual uma entidade registrada no CNES requer o registro de alteração de sua categoria ou base territorial;|https://cnes.trabalho.gov.br/app/|||
CGRS|entidades|Atualização de Dados Perenes (SD)|Procedimento por meio do qual entidades sindicais com cadastro ativo no CNES requerem a atualização de dados referentes à localização (correio eletrônico, endereço, endereço eletrônico e telefone), composição da diretoria e f iliação, quando houver. |https://cnes.trabalho.gov.br/app/|||
CGRS|entidades|Solicitação de Fusão (SF)|Procedimento por meio do qual dois ou mais sindicatos já registrados no CNES com categoria ou base territorial idênticas que se uniram em comum acordo, requerem o registro do novo sindicato formado, que os sucederá em direitos e obrigações, com a consequente extinção dos preexistentes;|https://cnes.trabalho.gov.br/app/|||
CGRS|entidades|Solicitação de Incorporação (SI)|Procedimento por meio do qual um sindicato registrado no CNES, denominado incorporador, requer o registro de nova representação pela absorção, em comum acordo, da representação sindical de um ou mais sindicatos com categoria ou base territorial idênticas e registrados no CNES, denominados incorporados, que serão extintos e sucedidos em seus direitos e obrigações por aquele;|https://cnes.trabalho.gov.br/app/|||
CGRS|entidades|Solicitação de Restituição ou repasse de Contribuição Sindical Urbana - CSU.|Procedimento por meio do qual é possivel solicitar a restituição ou repasse da Contribuição Sindical Urbana - CSU recolhida indevidamente ou a maior para a Conta Especial Emprego e Salário - CEES e transferida para a Conta Única da União - CTU|https://www.gov.br/trabalho-e-emprego/pt-br/servicos/sindicatos/contribuicao-sindical|||
